Rank,Club,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Sum
1,Man Utd,59,77,79,91,80,77,83,75,77,83,89,87,90,85,80,89,89,64,70,66,69,10,1669
2,Chelsea,46,63,75,65,61,64,67,79,95,91,83,85,83,86,71,64,75,82,87,50,93,9,1574
3,Arsenal,51,78,78,73,70,87,78,90,83,67,68,83,72,75,68,70,73,79,75,71,75,6,1570
4,Liverpool,48,65,54,67,69,80,64,60,58,82,68,76,86,63,58,52,61,84,62,60,76,7,1400
5,Tottenham,38,44,47,53,49,50,50,45,52,65,60,46,51,70,62,69,72,69,64,70,86,7,1219
6,Everton,33,40,43,50,42,43,59,39,61,50,58,65,63,61,54,56,63,72,47,47,61,4,1111
7,Man City,,,,,34,,51,41,52,43,42,55,50,67,71,89,78,86,79,66,78,10,992
8,Aston Villa,49,57,55,58,54,50,45,56,47,42,50,60,62,64,48,38,41,38,38,17,,,969
9,Newcastle,50,44,46,52,51,71,69,56,44,58,43,43,34,,46,65,41,49,39,37,,6,944
10,West Ham,34,56,57,55,42,53,42,,,55,41,49,51,35,33,,46,40,47,62,45,3,846
11,Southampton,36,48,41,44,52,45,52,47,32,,,,,,,,41,56,60,63,46,5,668
12,Blackburn,39,58,35,,,46,60,44,42,63,52,58,41,,43,31,,,,,,,612
13,Sunderland,31,,,58,57,40,19,,,15,,39,36,44,47,45,39,38,38,39,24,,609
14,Fulham,,,,,,44,48,52,44,48,39,36,53,46,49,52,43,32,,,,,586
15,Middlesbrough,28,,51,52,42,45,49,48,55,45,46,42,32,,,,,,,,28,,563
16,Bolton,,40,,,,40,44,53,58,56,56,37,41,39,46,36,,,,,,,546
17,Leicester,36,53,49,55,48,28,,33,,,,,,,,,,,41,81,44,3,471
18,Leeds,39,59,67,69,68,66,47,33,,,,,,,,,,,,,,,448
19,West Brom,,,,,,,26,,34,30,,,32,,47,47,49,36,44,43,45,7,440
20,Stoke,,,,,,,,,,,,,45,47,46,45,42,50,54,51,44,5,429
21,Charlton,,,36,,52,44,49,53,46,47,34,,,,,,,,,,,,361
22,Wigan,,,,,,,,,,51,38,40,45,36,42,43,36,,,,,,331
23,Birmingham,,,,,,,48,50,45,34,,35,,50,39,,,,,,,,301
24,Portsmouth,,,,,,,,45,39,38,54,57,41,19,,,,,,,,,293
25,Swansea,,,,,,,,,,,,,,,,47,46,42,56,47,41,4,283
26,Derby,36,55,52,38,42,30,,,,,,11,,,,,,,,,,,264
27,C Palace,,33,,,,,,,33,,,,,,,,,45,48,42,41,0,242
28,Coventry,36,52,42,44,34,,,,,,,,,,,,,,,,,,208
29,Norwich,,,,,,,,,33,,,,,,,47,44,33,,34,,,191
30,Hull,,,,,,,,,,,,,35,30,,,,37,35,,34,,171
31,Sheffield Wed,44,44,46,31,,,,,,,,,,,,,,,,,,,165
32,Wimbledon,41,44,42,33,,,,,,,,,,,,,,,,,,,160
33,Watford,,,,24,,,,,,,28,,,,,,,,,45,40,8,145
34,Wolves,,,,,,,,33,,,,,,38,40,25,,,,,,,136
35,Reading,,,,,,,,,,,55,36,,,,,28,,,,,,119
36,Burnley,,,,,,,,,,,,,,30,,,,,33,,40,7,110
37,Ipswich,,,,,66,36,,,,,,,,,,,,,,,,,102
38,QPR,,,,,,,,,,,,,,,,37,25,,30,,,,92
39,Bournemouth,,,,,,,,,,,,,,,,,,,,42,46,0,88
40,Bradford,,,,36,26,,,,,,,,,,,,,,,,,,62
41,Nottingham Forest,27,,30,,,,,,,,,,,,,,,,,,,,57
42,Blackpool,,,,,,,,,,,,,,,39,,,,,,,,39
43,Sheffield Utd,,,,,,,,,,,38,,,,,,,,,,,,38
44,Barnsley,,35,,,,,,,,,,,,,,,,,,,,,35
45,Cardiff,,,,,,,,,,,,,,,,,,30,,,,,30
46,Huddersfield,,,,,,,,,,,,,,,,,,,,,,7,7
47,Brighton,,,,,,,,,,,,,,,,,,,,,,4,4
