,,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,Sum
1,Man Utd,59,77,79,91,80,77,83,75,77,83,89,87,90,85,80,89,89,64,70,66,14,1604
2,Arsenal,51,78,78,73,70,87,78,90,83,67,68,83,72,75,68,70,73,79,75,71,19,1508
3,Chelsea,46,63,75,65,61,64,67,79,95,91,83,85,83,86,71,64,75,82,87,50,16,1488
4,Liverpool,48,65,54,67,69,80,64,60,58,82,68,76,86,63,58,52,61,84,62,60,17,1334
5,Tottenham,38,44,47,53,49,50,50,45,52,65,60,46,51,70,62,69,72,69,64,70,18,1144
6,Everton,33,40,43,50,42,43,59,39,61,50,58,65,63,61,54,56,63,72,47,47,15,1061
7,Aston Villa,49,57,55,58,54,50,45,56,47,42,50,60,62,64,48,38,41,38,38,17,,969
8,Newcastle,50,44,46,52,51,71,69,56,44,58,43,43,34,,46,65,41,49,39,37,,938
9,Man City,,,,,34,,51,41,52,43,42,55,50,67,71,89,78,86,79,66,19,923
10,West Ham,34,56,57,55,42,53,42,,,55,41,49,51,35,33,,46,40,47,62,7,805
11,Southampton,36,48,41,44,52,45,52,47,32,,,,,,,,41,56,60,63,12,629
12,Blackburn,39,58,35,,,46,60,44,42,63,52,58,41,,43,31,,,,,,612
13,Sunderland,31,,,58,57,40,19,,,15,,39,36,44,47,45,39,38,38,39,2,587
14,Fulham,,,,,,44,48,52,44,48,39,36,53,46,49,52,43,32,,,,586
15,Bolton,,40,,,,40,44,53,58,56,56,37,41,39,46,36,,,,,,546
16,Middlesbrough,28,,51,52,42,45,49,48,55,45,46,42,32,,,,,,,,6,541
17,Leeds,39,59,67,69,68,66,47,33,,,,,,,,,,,,,,448
18,Leicester,36,53,49,55,48,28,,33,,,,,,,,,,,41,81,8,432
19,West Brom,,,,,,,26,,34,30,,,32,,47,47,49,36,44,43,10,398
20,Stoke,,,,,,,,,,,,,45,47,46,45,42,50,54,51,6,386
21,Charlton,,,36,,52,44,49,53,46,47,34,,,,,,,,,,,361
22,Wigan,,,,,,,,,,51,38,40,45,36,42,43,36,,,,,331
23,Birmingham,,,,,,,48,50,45,34,,35,,50,39,,,,,,,301
24,Portsmouth,,,,,,,,45,39,38,54,57,41,19,,,,,,,,293
25,Derby,36,55,52,38,42,30,,,,,,11,,,,,,,,,,264
26,Swansea,,,,,,,,,,,,,,,,47,46,42,56,47,4,242
27,C Palace,,33,,,,,,,33,,,,,,,,,45,48,42,11,212
28,Coventry,36,52,42,44,34,,,,,,,,,,,,,,,,,208
29,Norwich,,,,,,,,,33,,,,,,,47,44,33,,34,,191
30,Sheffield Wed,44,44,46,31,,,,,,,,,,,,,,,,,,165
31,Wimbledon,41,44,42,33,,,,,,,,,,,,,,,,,,160
32,Hull,,,,,,,,,,,,,35,30,,,,37,35,,7,144
33,Wolves,,,,,,,,33,,,,,,38,40,25,,,,,,136
34,Reading,,,,,,,,,,,55,36,,,,,28,,,,,119
35,Watford,,,,24,,,,,,,28,,,,,,,,,45,11,108
36,Ipswich,,,,,66,36,,,,,,,,,,,,,,,,102
37,QPR,,,,,,,,,,,,,,,,37,25,,30,,,92
38,Burnley,,,,,,,,,,,,,,30,,,,,33,,7,70
39,Bradford,,,,36,26,,,,,,,,,,,,,,,,,62
40,Nottingham For.,27,,30,,,,,,,,,,,,,,,,,,,57
41,Bournemouth,,,,,,,,,,,,,,,,,,,,42,11,53
42,Blackpool,,,,,,,,,,,,,,,39,,,,,,,39
43,Sheffield Utd,,,,,,,,,,,38,,,,,,,,,,,38
44,Barnsley,,35,,,,,,,,,,,,,,,,,,,,35
45,Cardiff,,,,,,,,,,,,,,,,,,30,,,,30
